Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
ALTADORE,8,Community Historic Resource,1915,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),Unknown,Leisure,False,True,False,False
SCARBORO,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
INGLEWOOD,9,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
MISSION,8,City Wide Historic Resource,1959,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,"Religion, Ritual and Funeral",False,False,True,False
SHAGANAPPI,8,City Wide Historic Resource,1915,1914 to 1918 (WWI),Unknown,"Religion, Ritual and Funeral",False,False,False,False
SCARBORO,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1931,1930 to 1939 (Depression),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1930,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,Community Historic Resource,1958,1957 to 1982 (Modern),International,Commerce,False,False,False,False
SCARBORO,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
BELTLINE,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,True,False
ELBOW PARK,8,Community Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Prairie,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
MISSION,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,True,False,False
CHINATOWN,7,City Wide Historic Resource,1982,1957 to 1982 (Modern),Unknown,Leisure,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Edwardian Commercial,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Industry,False,True,False,False
KILLARNEY/GLENGARRY,8,Community Historic Resource,1955,1946 to 1956 (Oil Boom),Minimal Traditional,Residence,False,False,False,False
HOUNSFIELD HEIGHTS/BRIAR HILL,7,City Wide Historic Resource,1958,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1947,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Residence,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,False,False,False
SUNNYSIDE,7,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
DOWNTOWN WEST END,8,Community Historic Resource,1953,1946 to 1956 (Oil Boom),Unknown,Commerce,False,False,False,False
HILLHURST,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,True,False,False
HILLHURST,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,True,False,False
ELBOW PARK,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,True,False
CLIFF BUNGALOW,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,True,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1940,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Commerce,False,False,True,False
HILLHURST,7,City Wide Historic Resource,1957,1957 to 1982 (Modern),International,Leisure,False,False,False,False
RIDEAU PARK,8,City Wide Historic Resource,1955,1946 to 1956 (Oil Boom),Log,Community,False,True,False,False
GLENBROOK,6,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Industry,False,False,False,False
WEST HILLHURST,7,City Wide Historic Resource,1895,1885 to 1905 (Railway/Early Settlement),Other,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1900,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,True,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
CHINOOK PARK,11,City Wide Historic Resource,1961,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
RAMSAY,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Second Empire,"Religion, Ritual and Funeral",False,False,False,False
RAMSAY,9,Community Historic Resource,1958,1957 to 1982 (Modern),Other,"Religion, Ritual and Funeral",False,False,False,False
OGDEN,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Other,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
ACADIA,11,City Wide Historic Resource,1968,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
HIGHLAND PARK,4,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival/Late Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
MOUNT PLEASANT,7,City Wide Historic Resource,1960,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,"Religion, Ritual and Funeral",False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,True,False
NORTH GLENMORE PARK,11,City Wide Historic Resource,1966,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,City Wide Historic Resource,1916,1914 to 1918 (WWI),Georgian Revival,Education,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,True,False,False
HILLHURST,7,B,1953,1946 to 1956 (Oil Boom),Unknown,"Religion, Ritual and Funeral",False,False,True,False
MOUNT PLEASANT,7,City Wide Historic Resource,1960,1957 to 1982 (Modern),(Neo)Expressionist,Community,False,False,False,False
MOUNT PLEASANT,7,City Wide Historic Resource,1914,1914 to 1918 (WWI),Gothic Revival/Late Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,True,False,False
BRENTWOOD,4,City Wide Historic Resource,1968,1957 to 1982 (Modern),Brutalist,"Religion, Ritual and Funeral",False,False,False,False
MISSION,8,City Wide Historic Resource,1957,1957 to 1982 (Modern),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
ERLTON,8,City Wide Historic Resource,1935,1930 to 1939 (Depression),Unknown,"Religion, Ritual and Funeral",False,False,False,False
MISSION,8,City Wide Historic Resource,1955,1946 to 1956 (Oil Boom),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
MISSION,8,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Edwardian Classical,"Religion, Ritual and Funeral",True,True,False,False
MISSION,8,City Wide Historic Resource,1958,1957 to 1982 (Modern),Modern Ranch,"Religion, Ritual and Funeral",False,False,False,False
MISSION,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Education,False,False,True,False
CRESCENT HEIGHTS,7,C,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,"Religion, Ritual and Funeral",False,False,True,False
MIDNAPORE,14,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Gothic Revival,"Religion, Ritual and Funeral",True,True,False,False
MIDNAPORE,14,City Wide Historic Resource,1885,1885 to 1905 (Railway/Early Settlement),Gothic Revival,"Religion, Ritual and Funeral",True,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1913,1914 to 1918 (WWI),Edwardian Commercial,Commerce,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1952,1946 to 1956 (Oil Boom),Romanesque Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,Community Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,"Religion, Ritual and Funeral",False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1977,1957 to 1982 (Modern),Eastern European,"Religion, Ritual and Funeral",False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Defence,True,False,False,False
BELTLINE,8,City Wide Historic Resource,1950,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Leisure,False,False,True,False
ALYTH/BONNYBROOK,9,Community Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Industry,False,False,False,False
RENFREW,9,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
RENFREW,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
MISSION,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Commerce,False,True,False,False
GLENMORE PARK,11,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Education,False,False,True,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Transport,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,True,False
SOUTH CALGARY,8,Community Historic Resource,1930,1919 to 1929 (Post WWI to Stock Market Crash),Renaissance Revival,Government,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BANKVIEW,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
SCARBORO,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
SUNNYSIDE,7,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Education,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Art Deco,Commerce,False,False,True,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1885,1885 to 1905 (Railway/Early Settlement),Other,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
ELBOW PARK,8,B,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,True,False
SCARBORO,8,Community Historic Resource,1915,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),Other,"Religion, Ritual and Funeral",False,False,False,False
HILLHURST,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1893,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Commerce,True,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Commerce,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1937,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,Leisure,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Prairie,Residence,True,True,False,False
PARKDALE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
SCARBORO,8,City Wide Historic Resource,1913,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Leisure,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1892,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Mixed Use,False,True,False,False
EAU CLAIRE,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
SUNALTA,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
TUXEDO PARK,7,City Wide Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Education,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
POINT MCKAY,7,City Wide Historic Resource,1966,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Community,False,False,False,False
KILLARNEY/GLENGARRY,8,Community Historic Resource,1953,1946 to 1956 (Oil Boom),Unknown,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,True,False,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1891,1885 to 1905 (Railway/Early Settlement),Unknown,"Religion, Ritual and Funeral",False,False,False,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1900,1885 to 1905 (Railway/Early Settlement),Edwardian Cottage,"Religion, Ritual and Funeral",False,False,False,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
MOUNT PLEASANT,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,True,False,False
SUNNYSIDE,7,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1939,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,Government,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1886,1885 to 1905 (Railway/Early Settlement),Georgian Revival,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Prairie,Education,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Leisure,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,True,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Residence,False,False,False,False
ROXBORO,8,City Wide Historic Resource,1946,1946 to 1956 (Oil Boom),Georgian Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1963,1957 to 1982 (Modern),International,Leisure,False,False,False,False
SCARBORO,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BOWNESS,1,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Foursquare,Residence,False,False,True,False
HOUNSFIELD HEIGHTS/BRIAR HILL,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,True,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1935,1930 to 1939 (Depression),Arts & Crafts,Defence,False,False,False,False
ROSEDALE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,True,False
BANKVIEW,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
SUNALTA,8,City Wide Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,True,False
BELTLINE,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Italianate,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Government,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Mixed Use,False,False,True,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Collegiate Gothic,Education,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Health and Research,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Industry,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1965,1957 to 1982 (Modern),International,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Industry,False,False,False,False
SOUTH CALGARY,8,Community Historic Resource,1915,1914 to 1918 (WWI),Prairie,Residence,False,True,False,False
RENFREW,9,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Foursquare,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
ROXBORO,8,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,True,False,False
HILLHURST,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,True,False,False
INGLEWOOD,9,Community Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Edwardian Cottage,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Mixed Use,False,False,False,False
ASPEN WOODS,6,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Leisure,False,False,False,False
PARKDALE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
MERIDIAN,10,City Wide Historic Resource,1965,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
PARKDALE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Residence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1905,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
SHAGANAPPI,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
MANCHESTER,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage/Builder’s Cottage,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DALHOUSIE,4,City Wide Historic Resource,1934,1930 to 1939 (Depression),Craftsman,Residence,False,False,True,False
ELBOW PARK,8,Community Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,True,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1930,1930 to 1939 (Depression),Art Deco,Commerce,False,False,True,False
MISSION,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
