,Name,Community,Year of Construction,probability
793,Shaganappi Point Golf Course,SHAGANAPPI,1915,0.2805267
189,Canadian Northern Railway Bridge (Mission),MISSION,1913,0.2802661
173,Calgary Sports Car Club Clubhouse,SADDLE RIDGE INDUSTRIAL,1961,0.280189
263,Crescent Heights High School,CRESCENT HEIGHTS,1928,0.28006163
389,Glanville (Ward) Block,DOWNTOWN COMMERCIAL CORE,1899,0.2799792
966,Wolfe (Bouck) Residence,UPPER MOUNT ROYAL,1929,0.2798943
95,Befus Block,INGLEWOOD,1910,0.27928725
302,Dougall Block,INGLEWOOD,1910,0.27928725
353,First Church of Christ Scientist,BELTLINE,1927,0.27877834
715,Quarry Road,SPRUCE CLIFF,1895,0.27754766
327,Elbow Park School,ELBOW PARK,1926,0.27580693
183,Canada Malting Company,ALYTH/BONNYBROOK,1912,0.27318388
149,C.P.R. Worker's Cottage - 636 12 AV SE,BELTLINE,1906,0.27248943
791,Sevenoaks Court,INGLEWOOD,1913,0.27180907
191,Canadian Pacific Railway Alyth Yard,ALYTH/BONNYBROOK,1911,0.27175912
946,Western (Kraft) Building,DOWNTOWN COMMERCIAL CORE,1907,0.2716573
600,McFarlane & Northcott Block (Turner-Hicks),DOWNTOWN COMMERCIAL CORE,1907,0.2716573
758,Roma Grocery,CRESCENT HEIGHTS,1910,0.26733428
806,Sien Lok Park,CHINATOWN,1982,0.26729727
484,Isabella Block,BANKVIEW,1910,0.26598218
869,Stanley Jones School,RENFREW,1913,0.26585022
88,Bates Electric Welding,ALYTH/BONNYBROOK,1919,0.265254
917,Union Cemetery,MANCHESTER INDUSTRIAL,1891,0.26441452
284,Deane House,INGLEWOOD,1906,0.2642895
943,Wesley United Church,BELTLINE,1911,0.2637395
624,Moderne House,MOUNT PLEASANT,1944,0.26277763
724,Ramshead House & Summer House K4: Currie Barracks,CURRIE BARRACKS,1936,0.26268664
667,Officers' Mess & Formal Gardens J5: Currie Barracks,CURRIE BARRACKS,1936,0.26268664
856,St. Mary's School,MISSION,1909,0.26121366
772,Sanders Residence,DOWNTOWN EAST VILLAGE,1901,0.26103038
85,Bannerman Block,MISSION,1911,0.26099145
680,Palfreyville Apartments,SUNNYSIDE,1911,0.26034474
130,Britannia Building,DOWNTOWN COMMERCIAL CORE,1958,0.26024354
830,Spillers Canadian Milling Company,ALYTH/BONNYBROOK,1927,0.2602192
120,Bowness Town Hall,BOWNESS,1956,0.25924134
444,High School Terrace,BELTLINE,1910,0.25802904
545,Lannan Residence,UPPER MOUNT ROYAL,1919,0.25790614
296,Doll Block,DOWNTOWN COMMERCIAL CORE,1907,0.2577867
817,Smalley's Radio Ltd.,DOWNTOWN WEST END,1953,0.25749674
955,Wiggins Duplex,BRIDGELAND/RIVERSIDE,1911,0.25715417
381,George Befus Residence,BRIDGELAND/RIVERSIDE,1911,0.25715417
761,Rothermal Residence,BRIDGELAND/RIVERSIDE,1911,0.25715417
50,Alexander Befus Residence,BRIDGELAND/RIVERSIDE,1911,0.25715417
723,Ramsay School,RAMSAY,1912,0.2566886
883,Summers Block,BANKVIEW,1913,0.2545212
343,Fire Hall No. 3 (1952),INGLEWOOD,1952,0.25139648
776,Savage Residence,BELTLINE,1906,0.2512288
225,Chinese United Church,CHINATOWN,1953,0.24966511
310,Duplex/Boarding House,BELTLINE,1910,0.24811871
110,Blow Block,INGLEWOOD,1908,0.24806856
738,Rideau Elementary and Junior High School,RIDEAU PARK,1930,0.24806078
867,Standard Soap Company,ALYTH/BONNYBROOK,1905,0.24754755
73,Avonlea Apartments,MISSION,1914,0.24752776
954,Whiteman Residence,RENFREW,1913,0.2471674
804,Sibley Apartments,MISSION,1913,0.24662085
616,Midnapore School,MIDNAPORE,1928,0.24518052
309,Duplex Residences - 1318 3 ST SE,BELTLINE,1908,0.24481282
308,Duplex Residences - 1314 3 ST SE,BELTLINE,1908,0.24481282
659,Northwestern Brass Foundry,ALYTH/BONNYBROOK,1913,0.24479009
919,Union Cemetery Mortuary,MANCHESTER INDUSTRIAL,1908,0.24428502
456,Hoare Residence,BOWNESS,1928,0.24289306
945,Westbourne Baptist Church,BELTLINE,1910,0.24104886
668,Ogden Block,OGDEN,1913,0.2405472
479,Inglis-McNeill (Mission Cycle) Building,MISSION,1910,0.23972246
426,Haskins Block,INGLEWOOD,1908,0.23970394
863,St. Stephen's Memorial Hall,BELTLINE,1923,0.23837233
909,Trotter Residence,SUNALTA,1929,0.237504
354,First Street West Subway,DOWNTOWN COMMERCIAL CORE,1908,0.23612146
684,Parade Square at Currie Barracks,CURRIE BARRACKS,1936,0.23610403
865,Stables Building No. 11 - Quarter Masters Stores - D4: Currie Barracks,CURRIE BARRACKS,1936,0.23610403
569,MacKay Residence,SUNALTA,1910,0.2358016
506,Jehovah Lutheran Church,BRIDGELAND/RIVERSIDE,1920,0.23543137
